site,veg_type,roi,lat,long,elev,State,EPA_Ecoregion,WWF_Ecoregion,IGBP,NLCD_2016,koeppen_geiger
ahwahnee,GR,1000,37.7467,-119.5816,1199,CA,6,NA0527,8,shrub_scrub,Csb
ahwahnee,GR,2000,37.7467,-119.5816,1199,CA,6,NA0527,8,shrub_scrub,Csb
ahwahnee,GR,3000,37.7467,-119.5816,1199,CA,6,NA0527,8,shrub_scrub,Csb
bozeman,GR,1000,45.783056,-110.777778,2332,MT,6,NA0528,10,grass_herb,Dfb
butte,GR,1000,45.95304,-112.47964,1682,MT,6,NA0808,10,grass_herb,BSk
butte,GR,2000,45.95304,-112.47964,1682,MT,6,NA0808,10,grass_herb,BSk
coaloilpoint,GR,1000,34.413695,-119.880226,6,CA,11,NA1203,7,shrub_scrub,Csb
cperuvb,GR,1000,40.8055764,-104.7558542,1641,CO,9,NA0815,10,grass_herb,BSk
forbes,GR,1000,39.232,-121.2972,360,CA,11,NA1202,9,grass_herb,Csa
freemangrass,GR,1000,29.93,-98.01,243,TX,9,NA0806,9,shrub_scrub,Cfa
gatesofthemountains,GR,1000,46.8262,-111.7107,2387,MT,6,NA0528,1,shrub_scrub,BSk
gatesofthemountains,GR,2000,46.8262,-111.7107,2387,MT,6,NA0528,1,shrub_scrub,BSk
grandrivergrass,GR,1000,40.695873,-94.090862,368,IA,9,NA0804,12,pasture_hay,Dfa
hartprairie,GR,1000,35.3536,-111.7324,2585,AZ,13,NA0503,1,shrub_scrub,Csb
ibp,GR,1000,32.589,-106.847,1325,NM,10,NA1303,7,grass_herb,BWk
jasperridge,GR,1000,37.402028,-122.22104,197,CA,7,NA0519,8,grass_herb,Csb
jasperridge,GR,2000,37.402028,-122.22104,197,CA,7,NA0519,8,grass_herb,Csb
kansas,GR,1000,39.0561,-95.1907,333,KS,9,NA0804,14,grass_herb,Cfa
kendall,GR,1000,31.73652,-109.94185,1529,AZ,12,NA1303,10,shrub_scrub,BSk
konza,GR,1000,39.0824,-96.5603,443,KS,9,NA0807,10,grass_herb,Cfa
lethbridge,GR,1000,49.70919,-112.94025,950,CAN,9,NA0810,10,grass_herb,Dfb
marena,GR,1000,36.06434,-97.21271,327,OK,9,NA0804,10,grass_herb,Cfa
monture,GR,1000,47.020187,-113.128323,1255,MT,6,NA0808,12,grass_herb,Dfb
monture,GR,2000,47.020187,-113.128323,1255,MT,6,NA0808,12,grass_herb,Dfb
nationalelkrefuge,GR,1000,43.488931,-110.737824,1899,WY,6,NA0528,12,shrub_scrub,Dfc
NEON.D06.KONZ.DP1.00033,GR,1000,39.10077,-96.56309,415,KS,9,NA0807,10,grass_herb,Cfa
NEON.D09.DCFS.DP1.00033,GR,1000,47.161647,-99.106556,574,ND,9,NA0811,12,grass_herb,Dfb
NEON.D09.NOGP.DP1.00033,GR,1000,46.76972,-100.91535,589,ND,9,NA0811,10,grass_herb,Dfb
NEON.D09.WOOD.DP1.00033,GR,1000,47.1282,-99.241334,585,ND,9,NA0811,12,grass_herb,Dfb
NEON.D10.CPER.DP1.00033,GR,1000,40.81553,-104.7456,1600,CO,9,NA0815,10,grass_herb,BSk
NEON.D11.OAES.DP1.00033,GR,1000,35.41059,-99.05879,520,OK,9,NA0803,10,grass_herb,Cfa
NEON.D13.MOAB.DP1.00033,GR,1000,38.24833,-109.38827,1803,UT,10,NA1304,10,grass_herb,BSk
NEON.D14.JORN.DP1.00033,GR,1000,32.59068,-106.84254,1321,NM,10,NA1303,7,shrub_scrub,BWk
NEON.D15.ONAQ.DP1.00033,GR,1000,40.177599,-112.452452,1655,UT,10,NA1305,10,shrub_scrub,Cfa
ninemileprairie,GR,1000,40.86801886,-96.82208066,381,NE,9,NA0805,12,grass_herb,Dfa
ninemileprairie,GR,2000,40.86801886,-96.82208066,381,NE,9,NA0805,12,grass_herb,Dfa
oakville,GR,1000,47.899334,-97.316139,268,ND,9,NA0812,12,pasture_hay,Dfb
segaarboretummeadow,GR,1000,35.1621,-111.7316,2157,AZ,13,NA0503,8,shrub_scrub,Csb
segaarboretummeadow,GR,2000,35.1621,-111.7316,2157,AZ,13,NA0503,8,shrub_scrub,Csb
segablackpoint,GR,2000,35.6814,-111.4754,1566,AZ,10,NA1304,10,grass_herb,BSk
segabluechute,GR,1000,35.5876,-111.9716,1930,AZ,13,NA0503,10,shrub_scrub,Csb
segahartprairie,GR,1000,35.3536,-111.7324,2585,AZ,13,NA0503,10,shrub_scrub,Csb
segawhitepockets,GR,1000,36.6081,-112.4082,2057,AZ,10,NA1304,7,shrub_scrub,BSk
sevilletanewgrass,GR,1000,34.358,-106.6799,1603,NM,10,NA1304,10,grass_herb,BSk
srm,GR,1000,31.8214,-110.8661,1116,AZ,12,NA1303,7,shrub_scrub,BSk
teddy,GR,1000,46.89472222,-103.3775,853,ND,9,NA0811,10,shrub_scrub,Dfb
tonzi,GR,1000,38.43091667,-120.9658861,177,CA,11,NA0801,9,shrub_scrub,Csa
tuckerprairie,GR,1000,38.9491,-91.9952,274,MO,9,NA0804,12,pasture_hay,Cfa
uiefprairie,GR,1000,40.064624,-88.198469,224,IL,8,NA0804,12,shrub_scrub,Dfa
usgseros,GR,1000,43.7343,-96.6234,448,SD,9,NA0805,12,pasture_hay,Dfa
usgseros,GR,2000,43.7343,-96.6234,448,SD,9,NA0805,12,pasture_hay,Dfa
vaira,GR,1000,38.41328056,-120.9506361,129,CA,11,NA0801,8,shrub_scrub,Csa
