site,long,lat,data_years,cat,cex
ahwahnee,-119.5816,37.7467,10,2,1.5
bozeman,-110.777778,45.783056,2,1,1
butte,-112.47964,45.95304,11,3,2
coaloilpoint,-119.880226,34.413695,2,1,1
cperuvb,-104.7558542,40.8055764,4,1,1
forbes,-121.2972,39.232,3,1,1
freemangrass,-98.01,29.93,1,1,1
gatesofthemountains,-111.7107,46.8262,11,3,2
grandrivergrass,-94.090862,40.695873,2,1,1
hartprairie,-111.7324,35.3536,1,1,1
ibp,-106.847,32.589,4,1,1
jasperridge,-122.22104,37.402028,6,2,1.5
kansas,-95.1907,39.0561,7,2,1.5
kendall,-109.94185,31.73652,6,2,1.5
konza,-96.5603,39.0824,6,2,1.5
lethbridge,-112.94025,49.70919,9,2,1.5
marena,-97.21271,36.06434,6,2,1.5
monture,-113.128323,47.020187,16,4,2.5
nationalelkrefuge,-110.737824,43.488931,5,1,1
NEON.D06.KONZ.DP1.00033,-96.56309,39.10077,3,1,1
NEON.D09.DCFS.DP1.00033,-99.106556,47.161647,3,1,1
NEON.D09.NOGP.DP1.00033,-100.91535,46.76972,3,1,1
NEON.D09.WOOD.DP1.00033,-99.241334,47.1282,4,1,1
NEON.D10.CPER.DP1.00033,-104.7456,40.81553,3,1,1
NEON.D11.OAES.DP1.00033,-99.05879,35.41059,4,1,1
NEON.D13.MOAB.DP1.00033,-109.38827,38.24833,1,1,1
NEON.D14.JORN.DP1.00033,-106.84254,32.59068,1,1,1
NEON.D15.ONAQ.DP1.00033,-112.452452,40.177599,3,1,1
ninemileprairie,-96.82208066,40.86801886,4,1,1
oakville,-97.316139,47.899334,6,2,1.5
segaarboretummeadow,-111.7316,35.1621,3,1,1
segablackpoint,-111.4754,35.6814,1,1,1
segabluechute,-111.9716,35.5876,1,1,1
segahartprairie,-111.7324,35.3536,1,1,1
segawhitepockets,-112.4082,36.6081,2,1,1
sevilletanewgrass,-106.6799,34.358,1,1,1
srm,-110.8661,31.8214,1,1,1
teddy,-103.3775,46.89472222,6,2,1.5
tonzi,-120.9658861,38.43091667,8,2,1.5
tuckerprairie,-91.9952,38.9491,2,1,1
uiefprairie,-88.198469,40.064624,9,2,1.5
usgseros,-96.6234,43.7343,5,1,1
vaira,-120.9506361,38.41328056,8,2,1.5
