"year","predicted"
2007,244
2008,164
2009,222
2010,214
2011,179
2012,243
2013,227
2014,210
2015,202
2016,167
2017,196
2018,210
2019,240
2020,182
2021,162
2022,232
2023,184
2024,186
2025,237
2026,218
2027,147
2028,172
2029,226
2030,203
2031,203
2032,200
2033,9999
2034,223
2035,164
2036,197
2037,187
2038,214
2039,246
2040,230
2041,220
2042,211
2043,201
2044,218
2045,206
2046,198
2047,210
2048,216
2049,191
2050,196
2051,234
2052,239
2053,190
2054,206
2055,132
2056,156
2057,179
2058,239
2059,195
2060,214
2061,205
2062,247
2063,199
2064,206
2065,232
2066,226
2067,232
2068,229
2069,189
2070,183
2071,206
2072,184
2073,195
2074,230
2075,199
2076,197
2077,211
2078,174
2079,202
2080,257
2081,209
2082,212
2083,105
2084,190
2085,199
2086,191
2087,219
2088,210
2089,198
2090,166
2091,197
2092,214
2093,157
2094,227
2095,9999
2096,224
2097,214
2098,227
2099,209
2100,216
