"","Run","model","AIC","RMSE"
"1","output_run_7","SQWs_Tmin",1094.69143538869,15.9746594201486
"2","output_run_10","SQWs_cdd_Tmin",1099.19112019804,16.0773770025477
"3","output_run_8","SQWs",1099.26840399466,16.24634081089
"4","output_run_22","SQWs_cdd",1100.39124711239,16.2098418980252
"5","output_run_16","SQW_cdd_Tmin",1107.04841960508,16.5736893746438
"6","output_run_15","SQW_Tmin",1114.47857859339,16.9793237762119
"7","output_run_9","SQW_cdd",1137.59652037749,18.0162319974132
"8","output_run_3","SQW_NoPbase",1143.22157012634,18.3719407011944
"9","output_run_22","SQW",1145.3163539785,18.3764062779507
"10","output_run_22","SQW_Pi_Tmin",1148.59053397521,18.5313317495062
"11","output_run_16","SQWs_Pi_Tmin",1154.57798209393,18.62600883518
"12","output_run_1","SQWrs",1189.10300291438,20.4547029260968
"13","output_run_10","SQWr",1205.95838090729,21.4679247919261
"14","output_run_19","PAWs",1219.34326531881,21.9907906132288
"15","output_run_17","PAW",1230.79921880414,22.7627676204716
"16","output_run_6","M1Ws",1277.53364640608,25.7925650189432
"17","output_run_2","PWTs",1277.81856903516,25.9441214130954
"18","output_run_13","WTs",1281.84157369019,26.2131303954374
"19","output_run_13","AGSI",1298.03432151521,26.9072480941474
"20","output_run_11","SGSI",1300.07334743588,27.048294889147
"21","output_run_24","SM1b",1343.23546258206,30.0591724129898
"22","output_run_14","SM1",1347.96863301202,30.4262032819385
"23","output_run_20","PA",1366.08432710584,31.7098221457141
"24","output_run_5","PAb",1367.01496018124,31.7855797009128
"25","output_run_19","M1s",1391.9548628259,34.5868657448356
"26","output_run_5","TTs",1393.77754082797,34.9275440495511
"27","output_run_9","M1",1394.07896357281,34.9545492435607
"28","output_run_14","PTT",1394.25450154679,35.1500811539348
"29","output_run_13","PTTs",1395.10912261243,35.0470014079993
"30","output_run_13","TT",1395.689885047,35.2796883525976
"31","output_run_3","UM1",1397.94566721664,34.5860502485449
"32","output_run_1","LIN",1400.85300928696,35.9336572012183
"33","output_run_1","AT",1400.89452208268,35.3888291805371
"34","output_run_5","PM1",1404.30872182714,35.154968281479
"35","output_run_8","PM1b",1404.34270297371,35.1580315075685
"36","output_run_23","SQ",1405.64569113754,35.2756907653749
"37","output_run_11","SQb",1405.74049485739,35.2842668505311
"38","output_run_11","WT",1416.31936737094,37.1960847126242
"39","output_run_16","M1W",1418.31936737094,37.1960847126242
"40","output_run_19","PWT",1418.69649505798,37.4234946085738
"41","output_run_6","GRP",1451.2001595311,40.2610711004296
